UTC Time,Tether 1 Length,Tether 2 Length,Tether 3 Length,X Apex,Y Apex,Z Apex,Tether 1 Force,Tether 2 Force,Tether 3 Force,Current State,Operation Mode,Sent Command,Response Time,Loadcell 1 Force,Loadcell 2 Force,Loadcell 3 Force,Force Error (lbf),Angle Error (deg),Raw Response,Tether Lengths Initialized
2025-04-16 20:34:03.460138+00:00,,,,,,,20.0,20.0,20.0,2,Manual,"2,20.00,20.00,20.00",,,,,,,motor(s) enabled,False
2025-04-16 20:34:03.469265+00:00,,,,,,,20.0,20.0,20.0,2,Manual,"2,20.00,20.00,20.00",,,,,,,Motors ramping,False
2025-04-16 20:34:19.525532+00:00,,,,,,,20.0,20.0,20.0,2,Manual,"2,20.00,20.00,20.00",,,,,,,Motors ramped to commanded torque,False
2025-04-16 20:34:37.309635+00:00,39.5,36.5,37.5,0.93,-0.08,-3.32,29.59,52.5,48.77,2,Initialization,"2,29.59,52.5,48.77",,,,,,,Motors ramping,True
2025-04-16 20:34:46.475513+00:00,39.5,36.5,37.5,0.93,-0.08,-3.32,29.59,52.5,48.77,2,Initialization,"2,29.59,52.5,48.77",,,,,,,Motors ramped to commanded torque,True
2025-04-16 20:35:11.779671+00:00,39.63,36.15,37.19,0.97,-0.09,-3.29,27.96,53.55,49.78,4,Automatic,"4,27.96,53.55,49.78",23.0,29.47,52.01,49.11,0.62,0.9,"23, 29.47, 52.01, 49.11",True
2025-04-16 20:35:11.819008+00:00,39.63,36.15,37.19,0.97,-0.09,-3.29,27.96,53.55,49.78,4,Automatic,"4,27.96,53.55,49.78",48.0,29.47,52.01,49.11,0.62,0.9,"48, 29.47, 52.01, 49.11",True
2025-04-16 20:35:11.845431+00:00,39.63,36.15,37.19,0.97,-0.09,-3.29,27.96,53.55,49.78,4,Automatic,"4,27.96,53.55,49.78",73.0,29.47,52.01,49.11,0.62,0.9,"73, 29.47, 52.01, 49.11",True
2025-04-16 20:35:11.870904+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.56,49.78,4,Automatic,"4,27.94,53.56,49.78",97.0,29.47,52.01,49.11,0.62,0.91,"97, 29.47, 52.01, 49.11",True
2025-04-16 20:35:11.899475+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",122.0,29.47,52.02,49.11,0.62,0.91,"122, 29.47, 52.02, 49.11",True
2025-04-16 20:35:11.936117+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",196.0,29.47,52.03,49.11,0.61,0.91,"196, 29.47, 52.03, 49.11",True
2025-04-16 20:35:12.010985+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",245.0,29.47,52.04,49.11,0.6,0.91,"245, 29.47, 52.04, 49.11",True
2025-04-16 20:35:12.063376+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",294.0,29.47,52.04,49.11,0.6,0.91,"294, 29.47, 52.04, 49.11",True
2025-04-16 20:35:12.099917+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",344.0,29.47,52.05,49.11,0.6,0.91,"344, 29.47, 52.05, 49.11",True
2025-04-16 20:35:12.163493+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",393.0,29.47,52.06,49.11,0.59,0.91,"393, 29.47, 52.06, 49.11",True
2025-04-16 20:35:12.209400+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",442.0,29.47,52.07,49.11,0.58,0.9,"442, 29.47, 52.07, 49.11",True
2025-04-16 20:35:12.250139+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",467.0,29.47,52.07,49.12,0.57,0.9,"467, 29.47, 52.07, 49.12",True
2025-04-16 20:35:12.273904+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",516.0,29.47,52.08,49.12,0.56,0.9,"516, 29.47, 52.08, 49.12",True
2025-04-16 20:35:12.317338+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",541.0,29.47,52.09,49.12,0.56,0.9,"541, 29.47, 52.09, 49.12",True
2025-04-16 20:35:12.343023+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",566.0,29.47,52.09,49.12,0.56,0.9,"566, 29.47, 52.09, 49.12",True
2025-04-16 20:35:12.365433+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",590.0,29.47,52.09,49.12,0.56,0.9,"590, 29.47, 52.09, 49.12",True
2025-04-16 20:35:12.393689+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",615.0,29.47,52.1,49.12,0.55,0.9,"615, 29.47, 52.10, 49.12",True
2025-04-16 20:35:12.420071+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",640.0,29.47,52.1,49.12,0.55,0.9,"640, 29.47, 52.10, 49.12",True
2025-04-16 20:35:12.445997+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",689.0,29.46,52.12,49.12,0.54,0.89,"689, 29.46, 52.12, 49.12",True
2025-04-16 20:35:12.489857+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",714.0,29.46,52.13,49.13,0.53,0.89,"714, 29.46, 52.13, 49.13",True
2025-04-16 20:35:12.518661+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",738.0,29.45,52.14,49.13,0.52,0.88,"738, 29.45, 52.14, 49.13",True
2025-04-16 20:35:12.542083+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",787.0,29.44,52.16,49.14,0.51,0.87,"787, 29.44, 52.16, 49.14",True
2025-04-16 20:35:12.587084+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.94,53.57,49.78,4,Automatic,"4,27.94,53.57,49.78",812.0,29.44,52.16,49.14,0.51,0.87,"812, 29.44, 52.16, 49.14",True
2025-04-16 20:35:12.613115+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.93,53.57,49.79,4,Automatic,"4,27.93,53.57,49.79",837.0,29.43,52.17,49.14,0.51,0.87,"837, 29.43, 52.17, 49.14",True
2025-04-16 20:35:12.652565+00:00,39.64,36.14,37.19,0.97,-0.09,-3.29,27.93,53.57,49.79,4,Automatic,"4,27.93,53.57,49.79",886.0,29.42,52.17,49.14,0.51,0.87,"886, 29.42, 52.17, 49.14",True
